,管轄署,種別,日時,場所,状況,特徴,住所,address,count,color,都道府県コード,都道府県名,都道府県名カナ,都道府県名ローマ字,市区町村コード,市区町村名,市区町村名カナ,市区町村名ローマ字,大字町丁目名,大字町丁目名カナ,大字町丁目名ローマ字,小字・通称名,緯度,経度
10,伊予署管内,不審者,令和4年10月21日(金) 午後6時ころ,伊予郡松前町大字恵久美の路上,女性が歩行中、対向から近づいてきた自転車に乗車の男から、低速で横を通り過ぎられた後、Uターンして再度横を通り過ぎられ、その際、男が聞き取れない言葉を発してきたもの。,30~40歳位、中肉、黒色帽子着用,伊予郡松前町大字恵久美の,伊予郡松前町大字恵久美,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38401.0,伊予郡松前町,イヨグンマサキチョウ,IYO GUN MASAKI CHO,大字恵久美,,,,33.793632,132.7284
11,松山西署管内,声かけ,令和4年10月21日(金) 午後5時20分ころ,松山市西垣生町の路上,女子中学生が友人2人と歩行中、対向から自転車で近づいてきた男が女子中学生らの数メートル手前で立ち止まり、暴言を吐いた後、Uターンして立ち去ったもの。,50歳位、肥満、170cm位、白髪混じりの短髪(角刈りが伸びた様な短髪)、灰色と黒色迷彩柄作業着、黒色長ズボン、自転車(銀か黒色、前カゴあり、ママチャリ様)使用,松山市西垣生町の,松山市西垣生町,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,西垣生町,ニシハブマチ,NISHIHABUMACHI,,33.813675,132.701207
12,松山東署管内,不審者,令和4年10月18日(火) 午前5時ころ,松山市小坂二丁目のマンション,女性が在宅中、男が無施錠の玄関を開け、室内にいた被害者の方を見ながら笑いかけてきたもの。男は無言で直ぐに立ち去った。,180cm位,松山市小坂二丁目の,松山市小坂二丁目,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,小坂二丁目,コサカ 2,KOSAKA 2,,33.832696,132.781358
13,松山南署管内,つきまとい,令和4年10月中旬から下旬の午前7時50分ころ,松山市福音寺町の施設内,女子高校生が施設内にいたところ、同所にいた男から近づかれ、移動するも再度近づいてこられたもの。,やせ型、160cm位、黒色短髪、上下スーツ、徒歩、紺色ビジネスバッグ所持,松山市福音寺町の,松山市福音寺町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,福音寺町,フクオンジマチ,FUKUONJIMACHI,,33.821822,132.790842
14,松山東署管内,つきまとい,令和4年10月20日(木) 午前7時10分ころ,松山市下伊台町乙の路上,女子中学生が歩行中、前方のガードレール上に腰掛けていた男から前後をうろつかれ、つきまとわれたもの。,50~60歳位、中肉、身長160~165センチ位、白髪混じり、青色様セーター様長袖、灰色長ズボン、灰色つば付き帽子・緑色マフラー・紺色靴着用、茶色肩掛けバッグ所持、徒歩,松山市下伊台町乙の,松山市下伊台町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,下伊台町,シモイダイマチ,SHIMOIDAIMACHI,,33.873539,132.799896
15,四国中央署管内,つきまとい,令和4年10月19日(水) 午前9時ころ,四国中央市豊岡町大町の路上,女性が歩行中、徒歩の男から歩調を合わすようにして、つきまとわれたもの。男は、所持していたペン様のものを背中に隠すような仕草をしていた。,40歳位、やせ型、ボサボサの黒色短髪、茶色長袖スウェット、灰色長ズボン、右手にペン様の黒く細いもの所持、マスクなし、徒歩,四国中央市豊岡町大町の,四国中央市豊岡町大町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,豊岡町大町,トヨオカチョウオオマチ,TOYOKACHO OMACHI,,33.962794,133.489105
16,今治署管内,写真撮影等,令和4年10月18日(火) 午前11時ころ,今治市南高下町四丁目の路上,女性が運転中、信号で停止線付近に停車の際、隣の車線で停止線を越えて停車した車がバックして横に並んできて、同車両を運転していた男にスマートフォンを向けられ動画を撮られたもの。,25~35歳位、中肉、黒色短髪、白色シャツ、自動車使用,今治市南高下町四丁目の,今治市南高下町四丁目,0,写真撮影等,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,南高下町四丁目,ミナミコウゲチョウ 4,MINAMIKOGECHO 4,,34.047935,133.011125
17,松山東署管内,つきまとい,令和4年10月17日(月) 午後3時45分ころ,松山市桑原二丁目から同三丁目までの路上,女性が歩行中、自転車に乗車の男から後方をつきまとわれたもの。,40~50歳位、中肉、黒髪短髪、紺色様長袖、紺色様長ズボン、白色マスク着用、メガネ・帽子なし、自転車(塗色不明)使用,松山市桑原二丁目から同三丁目までの,松山市桑原二丁目から同三丁目まで,0,blue,,,,,,,,,,,,,,
18,松山西署管内,声かけ,令和4年10月17日(月) 午後5時30分ころ,松山市西垣生町の路上,女子中学生が歩行中、後方から追い越してきた自転車に乗車の男から、反転して近づかれ、暴言を吐かれたもの。,40~60歳位、肥満、160~170cm位、白髪混じりの黒髪短髪(毛量が多い)、赤色半袖シャツ、黒色様ズボン、自転車(銀色又は黒色、ママチャリ様)使用、メガネ・帽子・ヘルメットなし,松山市西垣生町の,松山市西垣生町,1,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,西垣生町,ニシハブマチ,NISHIHABUMACHI,,33.813675,132.701207
19,松山南署管内,声かけ,令和4年10月16日(日) 午後10時ころ,東温市志津川の路上,女性が歩行中、対向から近づいてきた車両に乗車の男から「おい」「ヘイユー(Hey You)」と声をかけられたもの。,18~30歳位、軽四自動車(白色)使用,東温市志津川の,東温市志津川,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38215.0,東温市,トウオンシ,TOON SHI,志津川,シツカワ,SHITSUKAWA,,33.809495,132.875036
20,八幡浜署管内,その他(写真撮影),令和4年10月16日(日) 午後0時50分ころ,八幡浜市松柏乙の店舗駐車場,女子高校生が店舗駐車場に立っていたところ、近くに停車した車の車内から男に写真を撮られたもの。その後、男は、女子高校生をチラチラ見ながら車で立ち去った。,中年、禿げてはいない、撮影機器不明、普通乗用車(白色)使用,八幡浜市松柏乙の,八幡浜市松柏,0,その他(写真撮影),38.0,愛媛県,エヒメケン,EHIME KEN,38204.0,八幡浜市,ヤワタハマシ,YAWATAHAMA SHI,松柏,マツカヤ,MATSUKAYA,,33.461662,132.439298
21,松山東署管内,身体露出,令和4年10月12日(水) 午後5時15分ころ,松山市針田町の屋外施設,男が、屋外施設で下半身を露出していたもの。,40~50歳位、黒色Tシャツ、薄緑色ズボン,松山市針田町の,松山市針田町,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,針田町,ハリタマチ,HARITAMACHI,,33.822356,132.735852
22,伊予署管内,声かけ,令和4年10月12日(水) 午後3時ころ,伊予市中山町出渕の路上,小学生女児が歩行中、前方から「やっほー。」と言いながら近づいてきた女から、握手をするような感じで、いきなり両手を握られたもの。,20歳位、小肥、身長160センチ位、黒色短髪、長袖トレーナー、ズボン、首から名札を提げている、リュックサックを背負っている、徒歩,伊予市中山町出渕の,伊予市中山町出渕,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,中山町出渕,ナカヤマチョウイズブチ,NAKAYAMACHO IZUBUCHI ,,33.636057,132.729836
23,四国中央署管内,声かけ,令和4年10月9日(日) 午後2時30分ころ,四国中央市下柏町から同市村松町までの路上,小学生女児5名が歩行中、対向から近づいてきた車に乗った男から卑わいな言葉を掛けられたもの。,50歳位、短髪、黒色様の服、黒縁メガネ着用、灰色の車使用,四国中央市下柏町から同市村松町までの,四国中央市下柏町から同市村松町まで,0,green,,,,,,,,,,,,,,
24,伊予署管内,声かけ,令和4年10月7日(金) 午後7時ころ,伊予市下吾川の路上,女子高校生が歩行中、前方から近づいてきた男から「おいで。」と声を掛けられ、女子高校生が反転して逃げると、追従してきたもの。,50歳位、黒色ウィンドブレーカー様、スウェットズボン、徒歩,伊予市下吾川の,伊予市下吾川,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,下吾川,シモアガワ,SHIMOAGAWA,,33.767149,132.708137
25,伊予署管内,声かけ,令和4年10月7日(金) 午後7時ころ,伊予市下吾川の路上,女子高校生が歩行中、前方から近づいてきた男から「おいで。」と声を掛けられ、女子高校生が反転して逃げると、追従してきたもの。,50歳位、黒色ウィンドブレーカー様、スウェットズボン、徒歩,伊予市下吾川の,伊予市下吾川,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,下吾川,シモアガワ,SHIMOAGAWA,馬塚,33.772775,132.708144
26,今治署管内,のぞき・盗撮(軽犯),令和4年10月6日(木) 午後4時ころ,今治市東村五丁目の一般住宅,小学生女児が在宅中、路上に立っていた男から凝視されたもの。同男は、玄関先に立つなどした後、自転車を押しながら立ち去っていった。,中肉、160cm位、黒色パーカー、黒色長ズボン、黒色サングラス・白色マスク着用、フードを被っている、茶色の封筒所持、自転車使用,今治市東村五丁目の,今治市東村五丁目,0,のぞき・盗撮(軽犯),38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,東村五丁目,ヒガシムラ 5,HIGASHIMURA 5,,34.038859,133.023267
27,西予署管内,つきまとい,令和4年10月6日(木) 午前7時20分ころ,西予市明浜町俵津の路上,小学生女児が歩行中、徒歩の男から後方をつきまとわれたもの。,25~35歳位、やせ型、175-180cm位、短髪、黒色様キャップ帽様着用、徒歩,西予市明浜町俵津の,西予市明浜町俵津,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38214.0,西予市,セイヨシ,SEIYO SHI,明浜町俵津,アケハマチョウタワラヅ,AKEHAMACHO TAWARAZU,,33.335128,132.482618
28,西条署管内,声かけ,令和4年10月5日(水) 午後3時30分ころ,西条市玉津の路上,小学生女児が歩行中、自転車に乗った3人組の男から「何小ですか?」と繰り返し聞かれたもの。,15~20歳位の3人組の男、自転車使用,西条市玉津の,西条市玉津,1,green,38.0,愛媛県,エヒメケン,EHIME KEN,38206.0,西条市,サイジョウシ,SAIJO SHI,玉津,タマツ,TAMATSU,,33.925796,133.201258
29,松山南署管内,ちかん,令和4年10月4日(火) 午後6時40分ころ,松山南和泉南三丁目の路上,女子高校生が自転車で走行中、後方から近づいてきたバイク乗車の男から、追い越しざま、手で身体を触られたもの。,黒色Tシャツ、黒色長ズボン、黒色フルフェイスヘルメット着用、黒色大き目のリュック、黒色オートバイ使用,松山南和泉南三丁目の,松山南和泉南三丁目,0,gray,,,,,,,,,,,,,,
30,松山南署管内,声かけ,令和4年10月4日(火) 午後5時45分ころ,松山市土居町の路上,女子高校生が自転車で走行中、前方から歩いてきた男から、すれ違い際に近寄られ暴言を吐かれたもの。,50~60歳位、中肉、身長160センチ位、紺色の服、帽子着用、メガネ・マスクなし、徒歩,松山市土居町の,松山市土居町,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,土居町,ドイマチ,DOIMACHI,,33.798272,132.790757
31,松山西署管内,写真撮影,令和4年10月4日(火) 午後4時30分ころ,松山市中須賀一丁目の路上,女子中学生が歩行中、路上にいた男からカメラを向けられたもの。,40~50歳位、中肉、身長160~165センチ位、ボサボサの白髪混じりの短髪、白色様半袖シャツ、黒色様長ズボン、黒色サングラス・白色マスク着用、黒色一眼レフ様カメラ所持、徒歩,松山市中須賀一丁目の,松山市中須賀一丁目,0,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,中須賀一丁目,ナカスガ 1,NAKASUGA 1,,33.864826,132.723868
32,松山東署管内,凝視,令和4年10月3日(月) 午前7時ころ,松山市三番町七丁目の路上,女性が歩行中、後方からきたバイク乗車の男が追い越し後に速度を緩めて振り返り、数秒間凝視してきたもの。,30~40歳位、中肉、ボサボサの黒髪短髪、灰色半キャップ型ヘルメット着用、青色原付(スクータータイプ)使用,松山市三番町七丁目の,松山市三番町七丁目,0,凝視,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,三番町七丁目,サンバンチョウ 7,SAMBANCHO 7,,33.838297,132.756718
33,西条署管内,声かけ,令和4年10月3日(月) 午後2時30分ころ,西条市喜多川の路上,小学生女児が歩行中、前方から歩いてきた男から「可愛いね、連れて行ってあげようか。」などと声をかけられたもの。身体接触はなし。,30~35歳位、やせ型、身長160センチ位、黒色短髪(前髪がセンター分け)、水色半袖Tシャツ、黒色半ズボン、スリッパ様のサンダル着用、暗色のスマートフォン所持、徒歩,西条市喜多川の,西条市喜多川,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38206.0,西条市,サイジョウシ,SAIJO SHI,喜多川,キタガワ,KITAGAWA,,33.922611,133.170114
34,松山東署管内,写真撮影,令和4年10月3日(月) 午前7時40分ころ,松山市桑原三丁目の路上,女が、歩行中の小学校低学年に対し、スマートフォンを向けていたもの。,50~60歳位、上下青色ジャージ、青色帽子・ピンク色靴着用、ピンク色スマートフォン所持,松山市桑原三丁目の,松山市桑原三丁目,0,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,桑原三丁目,クワバラ 3,KUWABARA 3,,33.833455,132.795937
35,松山西署管内,つきまとい,令和4年10月2日(日) 午後5時30分ころ,松山市梅津寺町から同市辰巳町までの路上,女性2人が徒歩や車で移動の際、自転車に乗車した男から何度も後を付けられ、少し離れた場所から凝視されたもの。,20~30歳位、中肉、身長165センチ位、長くも短くもない黒髪、黒色Tシャツ、黒色長ズボン、白色マスク・白色履物着用、黒色の軽快兼用自転車使用,松山市梅津寺町から同市辰巳町までの,松山市梅津寺町から同市辰巳町まで,0,blue,,,,,,,,,,,,,,
36,四国中央署管内,暴行,令和4年10月2日(日) 午後2時ころ,四国中央市土居町入野の駐車場,小学生男児が友人5人程と遊びながらコンクリート片を蹴って水路に落としたところ、走って駆け寄ってきた男から服の首元を掴まれ、怒鳴られた後、傍の田んぼに落とされたもの。,白髪、徒歩,四国中央市土居町入野の,四国中央市土居町入野,0,red,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,土居町入野,ドイチョウイリノ,DOICHO IRINO,,33.950339,133.421129
37,松山南署管内,声かけ,令和4年9月30日(金) 午後8時ころ,松山市来住町の土手上,女性が歩行中、いきなり目の前に現れた男から「こんにちは。」と声をかけられたもの。以前、同男が白色の車に乗車するのを目撃している。,30~40歳位、やせ型、身長170センチ位、やや長めの黒髪、白色Tシャツ、短パン、白色の車使用,松山市来住町の土手上,松山市来住町の土手上,0,green,,,,,,,,,,,,,,
38,四国中央署管内,つきまとい,令和4年9月29日(木) 午後6時ころ,四国中央市川之江町の路上,小学生女児が歩行中、男から後方をつきまとわれたもの。,50~60歳位、中肉、身長165~170センチ位、白髪混じりの黒髪、黒色の服、灰色ズボン、徒歩,四国中央市川之江町の,四国中央市川之江町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,川之江町,カワノエチョウ,KAWANOECHO,,34.014304,133.579682
39,四国中央署管内,つきまとい,令和4年9月29日(木) 午後6時ころ,四国中央市川之江町の路上,小学生女児が歩行中、男から後方をつきまとわれたもの。,50~60歳位、中肉、身長165~170センチ位、白髪混じりの黒髪、黒色の服、灰色ズボン、徒歩,四国中央市川之江町の,四国中央市川之江町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,川之江町,カワノエチョウ,KAWANOECHO,塚田,34.000158,133.566627
40,四国中央署管内,つきまとい,令和4年9月29日(木) 午後6時ころ,四国中央市川之江町の路上,小学生女児が歩行中、男から後方をつきまとわれたもの。,50~60歳位、中肉、身長165~170センチ位、白髪混じりの黒髪、黒色の服、灰色ズボン、徒歩,四国中央市川之江町の,四国中央市川之江町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,川之江町,カワノエチョウ,KAWANOECHO,横田,34.003925,133.565172
41,松山南署管内,つきまとい,令和4年9月29日(木) 午後5時ころ,松山市高井町から東温市北野田までの路上,女子中学生が自転車で走行中、自転車に乗車の男から後方をつきまとわれたもの。,40~50歳位、中肉、身長160~170センチ位、短髪、半袖白色Tシャツ、薄い水色の長ズボン、軍手着用、黒色様スマートフォン所持、自転車使用(赤と黒色(チューブ部分が赤、その他黒)),松山市高井町から東温市北野田までの,松山市高井町から東温市北野田まで,0,blue,,,,,,,,,,,,,,
42,松山南署管内,写真撮影,令和4年9月29日(木) 午後5時ころ,東温市田窪の路上,小学生女児2人が徒歩で信号待ち中、自転車に乗車した2人組の男の内1人がニヤニヤしながら近づいてきて、スマートフォンを向けてきたもの。,30歳位、中肉、身長170センチ位、作業着、自転車使用、同伴者:30歳位の男,東温市田窪の,東温市田窪,0,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38215.0,東温市,トウオンシ,TOON SHI,田窪,タノクボ,TANOKUBO,,33.79037,132.860296
43,松山南署管内,写真撮影,令和4年9月29日(木) 午後5時ころ,東温市田窪の路上,小学生女児2人が徒歩で信号待ち中、自転車に乗車した2人組の男の内1人がニヤニヤしながら近づいてきて、スマートフォンを向けてきたもの。,30歳位、中肉、身長170センチ位、作業着、自転車使用、同伴者:30歳位の男,東温市田窪の,東温市田窪,0,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38215.0,東温市,トウオンシ,TOON SHI,田窪,タノクボ,TANOKUBO,門田,33.784374,132.855824
44,松山東署管内,声かけ,令和4年9月28日(水) 午前9時20分ころ,松山市北藤原町の路上,女性が歩行中、対向から自転車で近づいてきた男と接触しそうになった後、暴言を吐かれたもの。,20~30歳位、160~170cm位、黒又は茶髪、上衣:灰色半袖、下衣:暗色の長ズボン、マスクなし、銀色軽快兼用自転車使用,松山市北藤原町の,松山市北藤原町,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,北藤原町,キタフジワラマチ,KITAFUJIWARAMACHI,,33.834441,132.758681
45,今治署管内,声かけ,令和4年9月27日(火) 午後7時55分ころ,今治市近見町二丁目の路上,女子高校生が自転車で走行中、上半身裸でボクサーパンツ姿の男から「こんにちは。」「学校の帰り?」と声をかけられたもの。,50歳位、小肥、170cm位、黒色天然パーマ、上衣:なし、下衣:赤色ボクサーパンツ、太い眉毛、大きな目で彫が深い、目尻が垂れている、鼻が高い、低い声,今治市近見町二丁目の,今治市近見町二丁目,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,近見町二丁目,チカミチョウ 2,CHIKAMICHO 2,,34.087933,132.985326
46,松山東署管内,つきまとい,令和4年9月27日(火) 午後5時10分ころ,松山市末広町の路上,女性が歩行中、自転車に乗った男から、すれ違い後Uターンして後方をつきまとわれたもの。,60-70歳位、中肉、170cm位、白髪短髪、無精ひげ、自転車使用,松山市末広町の,松山市末広町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,末広町,スエヒロマチ,SUEHIROMACHI,,33.833434,132.763254
47,宇和島署管内,声かけ,令和4年9月26日(月) 午後6時ころ,宇和島市三間町宮野下の路上,女子中学生2名が歩行中、男から「○○ちゃん、さよなら。」と声をかけられたもの。,40~60歳位、坊主、黒色ノースリーブシャツ、黒色長ズボン、徒歩,宇和島市三間町宮野下の,宇和島市三間町宮野下,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38203.0,宇和島市,ウワジマシ,UWAJIMA SHI,三間町宮野下,ミマチョウミヤノシタ,MIMACHO MIYANOSHITA,,33.296159,132.611882
48,大洲署管内,身体露出,令和4年9月25日(日) 午後8時15分ころ,大洲市長浜町出海甲の路上,女性2名が歩行中、上半身裸の男からすれ違いざまに、ズボンを下ろして露出させた下半身を、懐中電灯で照らしながら「見える?見て?」と言って見せつけられたもの。,20~40歳位、中肉、身長170センチ位、天然パーマ様の短髪、上半身裸、黒色長ズボン、黒色マスク着用、懐中電灯所持、徒歩,大洲市長浜町出海甲の,大洲市長浜町出海,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38207.0,大洲市,オオズシ,OZU SHI,長浜町出海,ナガハマチョウイズミオツ,NAGAHAMACHO IZUMI OTSU,,33.551379,132.437981
49,大洲署管内,身体露出,令和4年9月25日(日) 午前0時40分ころ,大洲市東大洲の店舗駐車場内,女性3名が駐車場内にいたところ、全裸の男から下半身を触っている姿を見せつけられた上、所持していた自撮り棒に取り付けたスマートフォンを向けられたもの。,18~40歳位、中肉、身長170センチ位、全裸、色白、ムダ毛がない、黒色目出し帽・黒色運動靴着用、スマートフォンを取り付けた自撮り棒所持、徒歩,大洲市東大洲の,大洲市東大洲,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38207.0,大洲市,オオズシ,OZU SHI,東大洲,ヒガシオオズ,HIGASHIOZU,,33.527646,132.571139
50,久万高原署管内,つきまとい,令和4年9月24日(土) 午後4時10分ころ,上浮穴郡久万高原町久万の店舗内,小学生女児2名が店舗内で買い物中、男から「こんにちは。」「どこ小?」と声をかけられた上、店内をつきまとわれたもの。,60~70歳位、やせ型、身長180センチ位、前頭部が禿げている、薄茶色半袖シャツ、黒色ジャージ、白色ハット帽(額部にサングラスをかけている)・ネックレス様のもの・黒色様靴着用、メガネ・マスクなし,上浮穴郡久万高原町久万の,上浮穴郡久万高原町久万,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38386.0,上浮穴郡久万高原町,カミウケナグンクマコウゲンチョウ,KAMIUKENA GUN KUMAKOGEN CHO,久万,クマ,KUMA,,33.657872,132.894815
